# ERM Training Log

# Training Logs

This file contains the verbose ERM and group-balanced training logs removed from the notebook so that its GitHub rendering remains concise.

/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:424: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  self.check_worker_number_rationality()
Epoch 0:   0%|          | 0/751 [00:00<?, ?batch/s]/usr/local/lib/python3.12/dist-packages/torch/utils/data/dataloader.py:432: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  self.check_worker_number_rationality()
Epoch 0:   2%|▏         | 12/751 [00:01<01:04, 11.55batch/s, accuracy=39.0625%, loss=1.59]ERM | Epoch 0 | Loss: 1.6159987449645996 | Accuracy: 15.625%
ERM | Epoch 0 | Loss: 1.6190383434295654 | Accuracy: 23.4375%
ERM | Epoch 0 | Loss: 1.6121156215667725 | Accuracy: 23.4375%
ERM | Epoch 0 | Loss: 1.6064637899398804 | Accuracy: 18.75%
ERM | Epoch 0 | Loss: 1.6147704124450684 | Accuracy: 15.625%
ERM | Epoch 0 | Loss: 1.6145906448364258 | Accuracy: 14.0625%
ERM | Epoch 0 | Loss: 1.6029984951019287 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.6198844909667969 | Accuracy: 31.25%
ERM | Epoch 0 | Loss: 1.6045284271240234 | Accuracy: 25.0%
ERM | Epoch 0 | Loss: 1.6068167686462402 | Accuracy: 28.125%
ERM | Epoch 0 | Loss: 1.602858066558838 | Accuracy: 23.4375%
ERM | Epoch 0 | Loss: 1.5994164943695068 | Accuracy: 31.25%
ERM | Epoch 0 | Loss: 1.5935406684875488 | Accuracy: 23.4375%
ERM | Epoch 0 | Loss: 1.5979576110839844 | Accuracy: 28.125%
ERM | Epoch 0 | Loss: 1.6103147268295288 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.6000721454620361 | Accuracy: 25.0%
ERM | Epoch 0 | Loss: 1.5925462245941162 | Accuracy: 21.875%
ERM | Epoch 0 | Loss: 1.5989055633544922 | Accuracy: 12.5%
ERM | Epoch 0 | Loss: 1.5953381061553955 | Accuracy: 20.3125%
ERM | Epoch 0 | Loss: 1.5914692878723145 | Accuracy: 20.3125%
ERM | Epoch 0 | Loss: 1.5990252494812012 | Accuracy: 23.4375%
ERM | Epoch 0 | Loss: 1.5896899700164795 | Accuracy: 28.125%
ERM | Epoch 0 | Loss: 1.5893527269363403 | Accuracy: 34.375%
ERM | Epoch 0 | Loss: 1.6000657081604004 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.5860265493392944 | Accuracy: 39.0625%
Epoch 0:   6%|▌         | 42/751 [00:01<00:15, 46.46batch/s, accuracy=98.4375%, loss=0.346]ERM | Epoch 0 | Loss: 1.580056071281433 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.573796033859253 | Accuracy: 40.625%
ERM | Epoch 0 | Loss: 1.574572205543518 | Accuracy: 37.5%
ERM | Epoch 0 | Loss: 1.5683462619781494 | Accuracy: 45.3125%
ERM | Epoch 0 | Loss: 1.5597832202911377 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.562186598777771 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.5569168329238892 | Accuracy: 42.1875%
ERM | Epoch 0 | Loss: 1.5490214824676514 | Accuracy: 43.75%
ERM | Epoch 0 | Loss: 1.5460972785949707 | Accuracy: 46.875%
ERM | Epoch 0 | Loss: 1.5412911176681519 | Accuracy: 53.125%
ERM | Epoch 0 | Loss: 1.5434775352478027 | Accuracy: 65.625%
ERM | Epoch 0 | Loss: 1.5188367366790771 | Accuracy: 82.8125%
ERM | Epoch 0 | Loss: 1.5016244649887085 | Accuracy: 82.8125%
ERM | Epoch 0 | Loss: 1.5015769004821777 | Accuracy: 76.5625%
ERM | Epoch 0 | Loss: 1.4814060926437378 | Accuracy: 84.375%
ERM | Epoch 0 | Loss: 1.4596060514450073 | Accuracy: 64.0625%
ERM | Epoch 0 | Loss: 1.4331998825073242 | Accuracy: 51.5625%
ERM | Epoch 0 | Loss: 1.4101791381835938 | Accuracy: 59.375%
ERM | Epoch 0 | Loss: 1.3649067878723145 | Accuracy: 64.0625%
ERM | Epoch 0 | Loss: 1.3649400472640991 | Accuracy: 51.5625%
ERM | Epoch 0 | Loss: 1.3452262878417969 | Accuracy: 59.375%
ERM | Epoch 0 | Loss: 1.233966588973999 | Accuracy: 57.8125%
ERM | Epoch 0 | Loss: 1.165238618850708 | Accuracy: 76.5625%
ERM | Epoch 0 | Loss: 1.0479321479797363 | Accuracy: 85.9375%
ERM | Epoch 0 | Loss: 0.9830383062362671 | Accuracy: 73.4375%
ERM | Epoch 0 | Loss: 0.8789209723472595 | Accuracy: 81.25%
ERM | Epoch 0 | Loss: 0.757310688495636 | Accuracy: 81.25%
ERM | Epoch 0 | Loss: 0.6510123014450073 | Accuracy: 70.3125%
ERM | Epoch 0 | Loss: 0.5206999182701111 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.4174104332923889 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.3461877703666687 | Accuracy: 98.4375%
Epoch 0:  10%|▉         | 74/751 [00:01<00:08, 83.77batch/s, accuracy=100.0%, loss=0.00562]ERM | Epoch 0 | Loss: 0.2975632846355438 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.14578506350517273 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1976894587278366 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.08112010359764099 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.031412407755851746 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.02095627598464489 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.01034007128328085 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.008833544328808784 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006865804549306631 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.18029609322547913 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0034036182332783937 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0028694123029708862 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.003461115527898073 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0033509209752082825 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002066052984446287 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0013814227422699332 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.4221249520778656 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.0014173288363963366 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.01813346892595291 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0016769298817962408 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.001030030194669962 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0012102703331038356 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.012306759133934975 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.000533686950802803 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00011451503087300807 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 8.778881601756439e-05 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.11386583745479584 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.22353795170783997 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.2048075944185257 | Accuracy: 89.0625%
ERM | Epoch 0 | Loss: 0.21826384961605072 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.005618804134428501 | Accuracy: 100.0%
Epoch 0:  14%|█▍        | 105/751 [00:02<00:05, 111.60batch/s, accuracy=100.0%, loss=0.00178]ERM | Epoch 0 | Loss: 0.006977096665650606 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002749186474829912 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004072462674230337 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006984842009842396 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004733017645776272 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005340284667909145 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0044558085501194 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.22103053331375122 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.0029119360260665417 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002671597059816122 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0017977568786591291 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0042007723823189735 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0031112416181713343 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0010500411735847592 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002119119744747877 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007957140915095806 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0009458345593884587 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.4031572937965393 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.001951921614818275 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.001946506672538817 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002844959730282426 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0019827978685498238 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.3952076733112335 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0020382474176585674 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002208082005381584 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.001942235860042274 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.3158183991909027 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.004226751625537872 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0028834259137511253 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0025785821489989758 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0017752738203853369 | Accuracy: 100.0%
Epoch 0:  18%|█▊        | 135/751 [00:02<00:04, 127.41batch/s, accuracy=100.0%, loss=0.00553]ERM | Epoch 0 | Loss: 0.001862930366769433 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0015085835475474596 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0016776854172348976 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0014103599824011326 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0012987060472369194 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.134974405169487 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0017739103641360998 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002935037948191166 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004753166809678078 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005736487917602062 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004336103796958923 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.15134309232234955 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0012151101836934686 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0018238089978694916 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0015499857254326344 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0013624177081510425 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0015631879214197397 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.30378857254981995 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0014357847394421697 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1583983153104782 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.001645448850467801 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002114678733050823 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1242184266448021 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0026427500415593386 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004251108504831791 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005604133475571871 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006103625986725092 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005531888455152512 | Accuracy: 100.0%
Epoch 0:  22%|██▏       | 166/751 [00:02<00:04, 135.10batch/s, accuracy=98.4375%, loss=0.161]ERM | Epoch 0 | Loss: 0.0883495882153511 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.006526686251163483 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00923827849328518 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.008671166375279427 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004980422090739012 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00496259331703186 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.003024543169885874 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0032391611021012068 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0028521965723484755 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.002182506024837494 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0020110434852540493 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0021446296013891697 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0020516393706202507 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0018553078407421708 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0016854754649102688 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.12242846935987473 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.00157681736163795 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.001897119451314211 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.001699171494692564 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0019745687022805214 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.24954307079315186 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0030162229668349028 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.13482137024402618 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.31374242901802063 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.0037877310533076525 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.306032657623291 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.12559522688388824 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.16978949308395386 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.07378236949443817 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.01264430582523346 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1608140617609024 | Accuracy: 98.4375%
Epoch 0:  26%|██▌       | 197/751 [00:02<00:03, 142.51batch/s, accuracy=100.0%, loss=0.00539]ERM | Epoch 0 | Loss: 0.011156370863318443 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.17278125882148743 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.01001153513789177 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010594832710921764 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.012468555942177773 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.014747604727745056 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.01614869385957718 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.013585614040493965 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.012264539487659931 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.08251051604747772 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.24177563190460205 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.16910991072654724 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.01112902257591486 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.011296922340989113 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010862935334444046 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010962853208184242 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009995952248573303 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.20599500834941864 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.01261997688561678 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.013505171984434128 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.18523600697517395 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.10250773280858994 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.009844226762652397 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009862368926405907 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009991427883505821 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.012532289139926434 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00941871851682663 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0081202182918787 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007786470465362072 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007287413813173771 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.17369748651981354 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.005386390723288059 | Accuracy: 100.0%
Epoch 0:  30%|███       | 229/751 [00:02<00:03, 146.81batch/s, accuracy=98.4375%, loss=0.161]ERM | Epoch 0 | Loss: 0.0054323431104421616 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005361469928175211 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.004019699990749359 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.16636580228805542 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.004727670922875404 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.20017248392105103 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.006694387644529343 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.09975912421941757 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.006518702022731304 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005896567367017269 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006261463742703199 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005866425111889839 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.2754603922367096 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.1011701449751854 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.006850171368569136 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007607297506183386 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007613091729581356 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.13990841805934906 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.18818601965904236 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.009497357532382011 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009499858133494854 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010287821292877197 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009283795952796936 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00927436538040638 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.15272662043571472 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.2277522087097168 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.010750535875558853 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009851716458797455 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.00979777704924345 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010057272389531136 | Accuracy: 100.0%
Epoch 0:  34%|███▍      | 259/751 [00:03<00:03, 147.63batch/s, accuracy=100.0%, loss=0.00586]ERM | Epoch 0 | Loss: 0.16106221079826355 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.010558845475316048 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010175259783864021 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.46853920817375183 | Accuracy: 93.75%
ERM | Epoch 0 | Loss: 0.16572079062461853 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.02001173049211502 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.02099974825978279 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.09850440174341202 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.028865445405244827 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.13163775205612183 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.01892709918320179 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.018520431593060493 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.12649410963058472 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.015209376811981201 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1351173222064972 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.012613236904144287 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.01340517122298479 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.07155764847993851 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.014077043160796165 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.012524526566267014 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.010948332957923412 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009594662114977837 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007925046607851982 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006665835622698069 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.005869224201887846 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.1992298662662506 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.24462014436721802 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.004711120389401913 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0054120454005897045 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.10256801545619965 | Accuracy: 98.4375%
Epoch 0:  39%|███▊      | 290/751 [00:03<00:03, 150.42batch/s, accuracy=100.0%, loss=0.00782]ERM | Epoch 0 | Loss: 0.005857009440660477 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.3476877510547638 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.006573725491762161 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006791413761675358 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007915085181593895 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007749976124614477 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0082993283867836 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007241043262183666 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.087754026055336 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.0901949480175972 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.010635537095367908 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009085496887564659 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.009689063765108585 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.008702203631401062 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.008680766448378563 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.11697650700807571 | Accuracy: 98.4375%
ERM | Epoch 0 | Loss: 0.006942888256162405 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.2782329022884369 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.0073303403332829475 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007111784536391497 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.006099332123994827 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0061675733886659145 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.0070736343041062355 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.007577705197036266 | Accuracy: 100.0%
ERM | Epoch 0 | Loss: 0.3077446520328522 | Accuracy: 96.875%
ERM | Epoch 0 | Loss: 0.006312627345323563 | Accuracy: 100.0%
